C:\Users\AIVS\.conda\envs\pythonspace\python.exe C:\Users\AIVS\PycharmProjects\tmo\Resnet.py 
C:\Users\AIVS\PycharmProjects\tmo\Resnet.py:564: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
iter: 127000, train loss: 0.03385922312736511, lr: 0.00010000000000000003
iter: 128000, train loss: 0.11225707083940506, lr: 0.00010000000000000003
iter: 129000, train loss: 0.10766482353210449, lr: 0.00010000000000000003
iter: 130000, train loss: 0.03721480071544647, lr: 0.00010000000000000003
count : 30958, accuracy : 59.81991034162931
iter: 131000, train loss: 0.06143350526690483, lr: 0.00010000000000000003
iter: 132000, train loss: 0.058247823268175125, lr: 0.00010000000000000003
iter: 133000, train loss: 0.03819474205374718, lr: 0.00010000000000000003
iter: 134000, train loss: 0.05500136315822601, lr: 0.00010000000000000003
iter: 135000, train loss: 0.09902116656303406, lr: 0.00010000000000000003
iter: 136000, train loss: 0.0630420595407486, lr: 0.00010000000000000003
iter: 137000, train loss: 0.20229484140872955, lr: 0.00010000000000000003
iter: 138000, train loss: 0.05971577391028404, lr: 0.00010000000000000003
iter: 139000, train loss: 0.0593683160841465, lr: 0.00010000000000000003
iter: 140000, train loss: 0.0959397405385971, lr: 0.00010000000000000003
count : 30948, accuracy : 59.80058741691142
iter: 141000, train loss: 0.0886465385556221, lr: 0.00010000000000000003
iter: 142000, train loss: 0.06644762307405472, lr: 0.00010000000000000003
iter: 143000, train loss: 0.05308111011981964, lr: 0.00010000000000000003
iter: 144000, train loss: 0.056923434138298035, lr: 0.00010000000000000003
iter: 145000, train loss: 0.0722891092300415, lr: 0.00010000000000000003
iter: 146000, train loss: 0.03372718766331673, lr: 0.00010000000000000003
iter: 147000, train loss: 0.033217404037714005, lr: 0.00010000000000000003
iter: 148000, train loss: 0.07722402364015579, lr: 0.00010000000000000003
iter: 149000, train loss: 0.0516175776720047, lr: 0.00010000000000000003
iter: 150000, train loss: 0.07037394493818283, lr: 1.0000000000000004e-05
count : 30952, accuracy : 59.80831658679858
iter: 151000, train loss: 0.08964721858501434, lr: 1.0000000000000004e-05
iter: 152000, train loss: 0.03550240397453308, lr: 1.0000000000000004e-05
iter: 153000, train loss: 0.07853803783655167, lr: 1.0000000000000004e-05
iter: 154000, train loss: 0.04877610504627228, lr: 1.0000000000000004e-05
iter: 155000, train loss: 0.09382902085781097, lr: 1.0000000000000004e-05
iter: 156000, train loss: 0.10025370866060257, lr: 1.0000000000000004e-05
iter: 157000, train loss: 0.05257078632712364, lr: 1.0000000000000004e-05
iter: 158000, train loss: 0.10225120931863785, lr: 1.0000000000000004e-05
iter: 159000, train loss: 0.08363383263349533, lr: 1.0000000000000004e-05
iter: 160000, train loss: 0.1111486554145813, lr: 1.0000000000000004e-05
count : 31000, accuracy : 59.90106662544443
iter: 161000, train loss: 0.08081433176994324, lr: 1.0000000000000004e-05
iter: 162000, train loss: 0.04269900172948837, lr: 1.0000000000000004e-05
iter: 163000, train loss: 0.0330951064825058, lr: 1.0000000000000004e-05
iter: 164000, train loss: 0.0996742695569992, lr: 1.0000000000000004e-05
iter: 165000, train loss: 0.051966164261102676, lr: 1.0000000000000004e-05
iter: 166000, train loss: 0.08622390776872635, lr: 1.0000000000000004e-05
iter: 167000, train loss: 0.050216056406497955, lr: 1.0000000000000004e-05
iter: 168000, train loss: 0.08744075894355774, lr: 1.0000000000000004e-05
iter: 169000, train loss: 0.04088222235441208, lr: 1.0000000000000004e-05
iter: 170000, train loss: 0.048445574939250946, lr: 1.0000000000000004e-05
count : 30982, accuracy : 59.86628536095223
iter: 171000, train loss: 0.07637901604175568, lr: 1.0000000000000004e-05
iter: 172000, train loss: 0.05573248118162155, lr: 1.0000000000000004e-05
iter: 173000, train loss: 0.06807027757167816, lr: 1.0000000000000004e-05
iter: 174000, train loss: 0.0789952352643013, lr: 1.0000000000000004e-05
iter: 175000, train loss: 0.08330636471509933, lr: 1.0000000000000004e-05
iter: 176000, train loss: 0.08730631321668625, lr: 1.0000000000000004e-05
iter: 177000, train loss: 0.07223228365182877, lr: 1.0000000000000004e-05
iter: 178000, train loss: 0.03637269139289856, lr: 1.0000000000000004e-05
iter: 179000, train loss: 0.08192869275808334, lr: 1.0000000000000004e-05
iter: 180000, train loss: 0.05826918035745621, lr: 1.0000000000000004e-05
count : 30995, accuracy : 59.89140516308549
iter: 181000, train loss: 0.023793881759047508, lr: 1.0000000000000004e-05
iter: 182000, train loss: 0.039273716509342194, lr: 1.0000000000000004e-05
iter: 183000, train loss: 0.06586500257253647, lr: 1.0000000000000004e-05
iter: 184000, train loss: 0.08637936413288116, lr: 1.0000000000000004e-05
iter: 185000, train loss: 0.10984386503696442, lr: 1.0000000000000004e-05
iter: 186000, train loss: 0.03254592418670654, lr: 1.0000000000000004e-05
iter: 187000, train loss: 0.06398078054189682, lr: 1.0000000000000004e-05
iter: 188000, train loss: 0.07734250277280807, lr: 1.0000000000000004e-05
iter: 189000, train loss: 0.1157599687576294, lr: 1.0000000000000004e-05
iter: 190000, train loss: 0.06616981327533722, lr: 1.0000000000000004e-05
count : 31007, accuracy : 59.91459267274695
iter: 191000, train loss: 0.11745981127023697, lr: 1.0000000000000004e-05
iter: 192000, train loss: 0.021880192682147026, lr: 1.0000000000000004e-05
iter: 193000, train loss: 0.09462737292051315, lr: 1.0000000000000004e-05
iter: 194000, train loss: 0.0843563824892044, lr: 1.0000000000000004e-05
iter: 195000, train loss: 0.06446800380945206, lr: 1.0000000000000004e-05
iter: 196000, train loss: 0.06063750013709068, lr: 1.0000000000000004e-05
iter: 197000, train loss: 0.0724467933177948, lr: 1.0000000000000004e-05
iter: 198000, train loss: 0.0487237423658371, lr: 1.0000000000000004e-05
iter: 199000, train loss: 0.2206198126077652, lr: 1.0000000000000004e-05

Process finished with exit code 0
