C:\Users\AIVS\.conda\envs\pythonspace\python.exe C:\Users\AIVS\PycharmProjects\tmo\vgg.py 
C:\Users\AIVS\PycharmProjects\tmo\vgg.py:370: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
iter: 165000, train loss: 0.8781571388244629, lr: 1.0000000000000004e-05
iter: 166000, train loss: 1.4773355722427368, lr: 1.0000000000000004e-05
iter: 167000, train loss: 0.9449570775032043, lr: 1.0000000000000004e-05
iter: 168000, train loss: 0.9517500400543213, lr: 1.0000000000000004e-05
iter: 169000, train loss: 1.1888593435287476, lr: 1.0000000000000004e-05
iter: 170000, train loss: 1.2066220045089722, lr: 1.0000000000000004e-05
count : 25882, accuracy : 50.01159375483073
iter: 171000, train loss: 1.2295955419540405, lr: 1.0000000000000004e-05
iter: 172000, train loss: 1.0741091966629028, lr: 1.0000000000000004e-05
iter: 173000, train loss: 0.9446370005607605, lr: 1.0000000000000004e-05
iter: 174000, train loss: 1.5078872442245483, lr: 1.0000000000000004e-05
iter: 175000, train loss: 0.6351231932640076, lr: 1.0000000000000004e-05
iter: 176000, train loss: 0.8548444509506226, lr: 1.0000000000000004e-05
iter: 177000, train loss: 0.9421760439872742, lr: 1.0000000000000004e-05
iter: 178000, train loss: 0.8783427476882935, lr: 1.0000000000000004e-05
iter: 179000, train loss: 0.9027053713798523, lr: 1.0000000000000004e-05
iter: 180000, train loss: 1.2065703868865967, lr: 1.0000000000000004e-05
count : 25859, accuracy : 49.9671510279796
iter: 181000, train loss: 0.7635380029678345, lr: 1.0000000000000004e-05
iter: 182000, train loss: 1.017638921737671, lr: 1.0000000000000004e-05
iter: 183000, train loss: 1.2617994546890259, lr: 1.0000000000000004e-05
iter: 184000, train loss: 0.8895792365074158, lr: 1.0000000000000004e-05
iter: 185000, train loss: 0.9281556606292725, lr: 1.0000000000000004e-05
iter: 186000, train loss: 0.9043163061141968, lr: 1.0000000000000004e-05
iter: 187000, train loss: 0.7929348349571228, lr: 1.0000000000000004e-05
iter: 188000, train loss: 1.0132209062576294, lr: 1.0000000000000004e-05
iter: 189000, train loss: 0.9414058327674866, lr: 1.0000000000000004e-05
iter: 190000, train loss: 0.931092381477356, lr: 1.0000000000000004e-05
count : 25861, accuracy : 49.97101561292317
