C:\Users\AIVS\.conda\envs\pythonspace\python.exe C:\Users\AIVS\PycharmProjects\tmo\Resnet.py 
C:\Users\AIVS\PycharmProjects\tmo\Resnet.py:569: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
iter: 112000, train loss: 0.04800381883978844, lr: 0.00010000000000000003
iter: 113000, train loss: 0.07894870638847351, lr: 0.00010000000000000003
iter: 114000, train loss: 0.022818664088845253, lr: 0.00010000000000000003
iter: 115000, train loss: 0.020425772294402122, lr: 0.00010000000000000003
iter: 116000, train loss: 0.051511261612176895, lr: 0.00010000000000000003
iter: 117000, train loss: 0.04100240767002106, lr: 0.00010000000000000003
iter: 118000, train loss: 0.013258878141641617, lr: 0.00010000000000000003
iter: 119000, train loss: 0.028578022494912148, lr: 0.00010000000000000003
iter: 120000, train loss: 0.03346522897481918, lr: 0.00010000000000000003
count : 31911, accuracy : 61.66138506724378
iter: 121000, train loss: 0.020385706797242165, lr: 0.00010000000000000003
iter: 122000, train loss: 0.04191738739609718, lr: 0.00010000000000000003
iter: 123000, train loss: 0.007215188350528479, lr: 0.00010000000000000003
iter: 124000, train loss: 0.012270573526620865, lr: 0.00010000000000000003
iter: 125000, train loss: 0.015600261278450489, lr: 0.00010000000000000003
iter: 126000, train loss: 0.01916635036468506, lr: 0.00010000000000000003
iter: 127000, train loss: 0.007227978203445673, lr: 0.00010000000000000003
iter: 128000, train loss: 0.01706721819937229, lr: 0.00010000000000000003
iter: 129000, train loss: 0.009952789172530174, lr: 0.00010000000000000003
iter: 130000, train loss: 0.011230386793613434, lr: 0.00010000000000000003
count : 31996, accuracy : 61.8256299273458
iter: 131000, train loss: 0.016539985314011574, lr: 0.00010000000000000003
iter: 132000, train loss: 0.019092636182904243, lr: 0.00010000000000000003
iter: 133000, train loss: 0.020599978044629097, lr: 0.00010000000000000003
iter: 134000, train loss: 0.00747278006747365, lr: 0.00010000000000000003
iter: 135000, train loss: 0.029929155483841896, lr: 0.00010000000000000003
iter: 136000, train loss: 0.11760525405406952, lr: 0.00010000000000000003
iter: 137000, train loss: 0.014001825824379921, lr: 0.00010000000000000003
iter: 138000, train loss: 0.012051086872816086, lr: 0.00010000000000000003
iter: 139000, train loss: 0.03450971841812134, lr: 0.00010000000000000003
iter: 140000, train loss: 0.08729150891304016, lr: 0.00010000000000000003
count : 31981, accuracy : 61.79664554026898
iter: 141000, train loss: 0.009715337306261063, lr: 0.00010000000000000003
iter: 142000, train loss: 0.0181549284607172, lr: 0.00010000000000000003
iter: 143000, train loss: 0.025545494630932808, lr: 0.00010000000000000003
iter: 144000, train loss: 0.023293187841773033, lr: 0.00010000000000000003
iter: 145000, train loss: 0.0213011484593153, lr: 0.00010000000000000003
iter: 146000, train loss: 0.07351231575012207, lr: 0.00010000000000000003
iter: 147000, train loss: 0.08223561197519302, lr: 0.00010000000000000003
iter: 148000, train loss: 0.03083866462111473, lr: 0.00010000000000000003
